region_id,estimation_id,overriden_name,overriden_value,specified_by,original_value
301,0,dependent_iterations_distance,inf,assumed,inf
301,0,has_dependency,False,assumed,True
301,0,dependency_type,Parallel: Assumed,assumed,
301,0,dependency_key,parallel_assumed,assumed,
