estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
276,5,16,"(271,)","(8,)",34,9.289538033672473,0.7341592086042431,"Launch_Tax, Trip_Count"
277,5,16,"(271,)","(16,)",17,9.289538033672473,0.7341592086042431,"Launch_Tax, Trip_Count"
278,5,16,"(271,)","(32,)",17,9.289538033672473,0.7341592086042431,"Launch_Tax, Trip_Count"
279,5,16,"(271,)","(64,)",17,9.289538033672473,0.7341592086042431,"Launch_Tax, Trip_Count"
280,5,16,"(271,)","(128,)",17,9.289538033672473,0.7341592086042431,"Launch_Tax, Trip_Count"
281,5,16,"(271,)","(256,)",17,12.959989153935854,0.5262349998980373,Trip_Count
282,5,32,"(271,)","(8,)",34,12.959989153935854,0.5262349998980373,Trip_Count
283,5,32,"(271,)","(16,)",17,12.959989153935854,0.5262349998980373,Trip_Count
284,5,32,"(271,)","(32,)",9,12.959989153935854,0.5262349998980373,Trip_Count
285,5,32,"(271,)","(64,)",9,12.959989153935854,0.5262349998980373,Trip_Count
286,5,32,"(271,)","(128,)",9,12.959989153935854,0.5262349998980373,Trip_Count
287,5,32,"(271,)","(256,)",9,12.959989153935854,0.5262349998980373,Trip_Count
288,5,8,"(271,)","(8,)",34,7.4543124735407815,0.9149066282514603,"Launch_Tax, Trip_Count"
289,5,8,"(271,)","(16,)",34,7.4543124735407815,0.9149066282514603,"Launch_Tax, Trip_Count"
290,5,8,"(271,)","(32,)",34,7.4543124735407815,0.9149066282514603,"Launch_Tax, Trip_Count"
291,5,8,"(271,)","(64,)",34,7.4543124735407815,0.9149066282514603,"Launch_Tax, Trip_Count"
292,5,8,"(271,)","(128,)",34,9.289538033672473,0.7341592086042431,"Launch_Tax, Trip_Count"
293,5,8,"(271,)","(256,)",34,12.959989153935854,0.5262349998980373,Trip_Count
294,5,16,"(271,)","(8,)",34,9.289538033672473,0.7341592086042431,"Launch_Tax, Trip_Count"
295,5,16,"(271,)","(16,)",17,9.289538033672473,0.7341592086042431,"Launch_Tax, Trip_Count"
296,5,16,"(271,)","(32,)",17,9.289538033672473,0.7341592086042431,"Launch_Tax, Trip_Count"
297,5,16,"(271,)","(64,)",17,9.289538033672473,0.7341592086042431,"Launch_Tax, Trip_Count"
298,5,16,"(271,)","(128,)",17,9.289538033672473,0.7341592086042431,"Launch_Tax, Trip_Count"
299,5,16,"(271,)","(256,)",17,12.959989153935854,0.5262349998980373,Trip_Count
300,5,32,"(271,)","(8,)",34,12.959989153935854,0.5262349998980373,Trip_Count
301,5,32,"(271,)","(16,)",17,12.959989153935854,0.5262349998980373,Trip_Count
302,5,32,"(271,)","(32,)",9,12.959989153935854,0.5262349998980373,Trip_Count
303,5,32,"(271,)","(64,)",9,12.959989153935854,0.5262349998980373,Trip_Count
304,5,32,"(271,)","(128,)",9,12.959989153935854,0.5262349998980373,Trip_Count
305,5,32,"(271,)","(256,)",9,12.959989153935854,0.5262349998980373,Trip_Count
